"Here are the results! We had 73 competitors for the Event, and 43 time onlies.",,,,,,,,,,,,,,,,,
Series Event II,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
1,open,SS,David Rock,01 Chevrolet/Corvette Z06,41.370, ,39.232, ,39.424, ,45.619,(6),39.232,1,32.955,2,991
2,open,SS,Elvis Presley,05 Lotus/Elise,44.230,(2),41.404, ,47.477,(4),41.512, ,41.404,11,34.779,13,939
3,open,SS,Newton Johnson,04 Corvette/Z06,44.133, ,42.380, ,42.513, ,43.648,(2),42.380,16,35.599,23,918
4,open,SS,David Lee,02 Chevrolet/Z06,47.501, ,46.158, ,60.134,(4),47.293, ,46.158,53,38.773,55,843
1,open,AS,Craig Meyer,96 Chevrolet/Corvette,45.794, ,64.937,(20),43.214, ,44.050, ,43.214,25,35.911,24,910
1,open,CS,Brad Owen,99 Mazda/Miata,46.985,(2),45.561,(2),44.294, ,45.328,(2),44.294,32,36.011,27,907
2,open,CS,Ralph Prince,99 mazda/miata,55.655, ,49.313, ,53.332, ,48.954, ,48.954,67,39.800,62,821
1,open,DS,Ron Terrien,03 BMW/3,48.531,(4),43.658, ,43.357, ,43.182, ,43.182,24,34.459,10,948
1,open,FS,Don Hyland,00 Chevrolet/Camaro Z/28,46.357, ,44.831, ,44.109, ,45.982,(2),44.109,29,35.508,20,920
1,open,GS,Chris Sparling,95 Saab 900SE,46.788, ,46.311, ,45.316, ,45.894, ,45.316,38,35.981,25,908
2,open,GS,Kris Tvedt,03 Toyota/Celica,48.658,(2),45.513, ,45.430, ,52.139,(6),45.430,41,36.071,29,906
3,open,GS,Chris Linrud,05 Mazda/6,56.481,(4),51.728, ,50.894, ,50.889, ,50.889,70,40.406,65,809
1,open,ASP,Keith Lensch,06 CHEVROLET/CORVETTE,43.104, ,41.412, ,41.360, ,43.395,(2),41.360,10,35.239,19,927
1,open,BSP,Andy Lieber,04 Mitsubishi/EVO,45.415,(4),41.563, ,40.563, ,43.024,(2),40.563,4,34.195,9,955
2,open,BSP,Rob Love,04 Mitsubishi/EVO,43.943, ,42.396, ,42.126, ,41.653, ,41.653,14,35.113,17,930
1,open,CSP,Brian Peters,93 Mazda/Miata,44.443,(2),43.185,(2),40.187, ,39.907, ,39.907,2,33.442,3,977
1,open,DSP,Clint Child,00 acura/integra R,44.083,(2),41.148, ,40.450, ,44.406,(4),40.450,3,33.533,4,974
2,open,DSP,Zach Fellows,05 Honda/Civic,66.529,(20),65.867,(20),47.893,(2),45.386, ,45.386,39,37.625,45,868
3,open,DSP,Miguel Snyder,96 Nissan 240 SX,48.626, ,47.350, ,46.298, ,45.990, ,45.990,50,38.126,50,857
1,open,FP,Fred Zust,05 Lotus/Elise,46.451,(2),43.833, ,42.146, ,41.234, ,41.234,8,35.585,22,918
1,open,EM,Greg Duncan,84 Pontiac/Fiero,54.819,(4),41.834, ,41.387, ,41.302, ,41.302,9,36.387,33,898
2,open,EM,Bill Schroeder,91 Ford/Mustang,DNF, ,44.983, ,44.274, ,44.935, ,44.274,31,39.005,57,838
3,open,EM,Ken Edney,05 Brunton/Stalker,46.937, ,68.234,(20),46.611, ,45.591, ,45.591,44,40.166,63,813
4,open,EM,Bill Bradley,05 Brunton/Stalker,49.105, ,47.188, ,46.568, ,47.148, ,46.568,55,41.026,69,796
1,open,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,44.861,(2),42.830, ,42.291, ,42.170, ,42.170,15,33.609,5,972
2,open,STS,Ron Huber,01 Subaru/Impreza RS,43.619, ,42.659, ,44.743,(2),42.423, ,42.423,18,33.811,6,966
3,open,STS,Erich Eikenberry,00 Honda/Civic Si,46.359, ,45.568, ,56.350,(2),50.860,(4),45.568,43,36.318,32,900
1,open,STS2,Joel Rhode,89 Honda/CRX,47.571, ,46.813, ,46.145, ,46.926,(2),46.145,52,37.008,40,883
1,open,STU,Jay Balducci,05 Subaru/WRX-STI,44.330, ,64.115,(22),43.305,(2),41.523, ,41.523,12,34.049,7,960
2,open,STU,Mike Oswald,05 Subaru/WRX STi,44.919,(2),45.860,(2),44.938,(2),42.583, ,42.583,19,34.918,14,936
3,open,STU,Christopher Groppi,04 Subaru/WRX STi,43.086, ,48.153,(4),43.159, ,42.685, ,42.685,20,35.002,15,933
4,open,STU,Tim Bergstrom,03 BMW/M3,46.619, ,65.509,(20),48.961,(4),47.003,(2),46.619,57,38.228,53,855
5,open,STU,Jack Drummond,4 Dodge/SRT-4,49.774, ,47.951, ,47.145, ,47.112, ,47.112,60,38.632,54,846
1,open,STX,Joshua Sortor,02 Subaru/WRX,43.036, ,41.058, ,41.133, ,40.635, ,40.635,6,32.671,1,1000
2,open,STX,Mike Quigley,02 subaru/wrx,63.953,(20),64.035,(20),42.385, ,44.613,(2),42.385,17,34.078,8,959
